area,apprate,distance,duration
0.40,134.50,18.3,48
0.81,134.50,18.3,48
1.21,134.50,18.3,48
1.62,134.50,18.3,48
2.02,134.50,18.3,48
2.43,134.50,30.5,48
2.83,134.50,30.5,48
3.24,134.50,30.5,48
3.64,134.50,30.5,48
4.05,134.50,30.5,48
4.45,134.50,30.5,48
4.86,134.50,30.5,48
5.26,134.50,30.5,48
5.67,134.50,30.5,48
6.07,134.50,30.5,48
6.47,134.50,30.5,48
6.88,134.50,30.5,48
7.28,134.50,30.5,48
7.69,134.50,30.5,48
8.09,134.50,30.5,48
8.50,134.50,30.5,48
8.90,134.50,30.5,48
9.31,134.50,30.5,48
9.71,134.50,30.5,48
10.12,134.50,30.5,48
10.52,134.50,30.5,48
10.93,134.50,30.5,48
11.33,134.50,30.5,48
11.74,134.50,30.5,48
12.14,134.50,30.5,48
12.55,134.50,30.5,48
12.95,134.50,30.5,48
13.35,134.50,30.5,48
13.76,134.50,30.5,48
14.16,134.50,30.5,48
14.57,134.50,30.5,48
14.97,134.50,30.5,48
15.38,134.50,30.5,48
15.78,134.50,30.5,48
16.19,134.50,30.5,48
0.40,156.92,18.3,48
0.81,156.92,18.3,48
1.21,156.92,18.3,48
1.62,156.92,18.3,48
2.02,156.92,18.3,48
2.43,156.92,30.5,48
2.83,156.92,30.5,48
3.24,156.92,30.5,48
3.64,156.92,30.5,48
4.05,156.92,30.5,48
4.45,156.92,30.5,48
4.86,156.92,30.5,48
5.26,156.92,30.5,48
5.67,156.92,30.5,48
6.07,156.92,30.5,48
6.47,156.92,30.5,48
6.88,156.92,30.5,48
7.28,156.92,30.5,48
7.69,156.92,30.5,48
8.09,156.92,30.5,48
8.50,156.92,30.5,48
8.90,156.92,30.5,48
9.31,156.92,33.5,48
9.71,156.92,33.5,48
10.12,156.92,33.5,48
10.52,156.92,36.6,48
10.93,156.92,36.6,48
11.33,156.92,36.6,48
11.74,156.92,39.6,48
12.14,156.92,39.6,48
12.55,156.92,39.6,48
12.95,156.92,42.7,48
13.35,156.92,42.7,48
13.76,156.92,42.7,48
14.16,156.92,42.7,48
14.57,156.92,45.7,48
14.97,156.92,45.7,48
15.38,156.92,45.7,48
15.78,156.92,45.7,48
16.19,156.92,45.7,48
0.40,179.34,18.3,48
0.81,179.34,18.3,48
1.21,179.34,18.3,48
1.62,179.34,18.3,48
2.02,179.34,18.3,48
2.43,179.34,30.5,48
2.83,179.34,30.5,48
3.24,179.34,30.5,48
3.64,179.34,30.5,48
4.05,179.34,30.5,48
4.45,179.34,30.5,48
4.86,179.34,33.5,48
5.26,179.34,33.5,48
5.67,179.34,33.5,48
6.07,179.34,36.6,48
6.47,179.34,36.6,48
6.88,179.34,39.6,48
7.28,179.34,39.6,48
7.69,179.34,42.7,48
8.09,179.34,42.7,48
8.50,179.34,45.7,48
8.90,179.34,45.7,48
9.31,179.34,48.8,48
9.71,179.34,48.8,48
10.12,179.34,51.8,48
10.52,179.34,51.8,48
10.93,179.34,51.8,48
