srcid,xs,ys,xinit,yinit,apprate,start,incdepth
F001,11568.4,9421.2,252.9,252.9,48.8,2015-11-01T08:00:00,2
F002,11842.3,9019,277,277,42.2,2015-11-03T08:00:00,2
F003,11852.4,9500.6,292,292,28.9,2015-11-03T08:00:00,2
F004,12121.2,9363.7,223.4,223.4,46.5,2015-11-05T08:00:00,2
F005,12321.8,9751.9,232,232,46,2015-11-05T08:00:00,2
F006,12379.3,9570.3,256.3,256.3,45.4,2015-11-06T08:00:00,2
F007,12374.5,9922.4,166.4,166.4,37.8,2015-11-07T08:00:00,2
F008,12604.2,9796.3,269.8,269.8,44.1,2015-11-07T08:00:00,2
F009,12632,9294.8,168.1,168.1,46.6,2015-11-07T08:00:00,2
F010,9548,4826.6,376.4,376.4,54.2,2016-02-08T08:00:00,2
F011,9329.5,4141.8,267.1,267.1,54.1,2016-02-10T08:00:00,2
F012,9799.5,3669.5,299,299,54.1,2016-02-11T08:00:00,2
