srcid,xs,ys,xinit,yinit,apprate,start,incdepth
F013,19373.4,9324.2,521.4,521.4,110.8,2016-03-04T08:00:00,30.5
F014,10553.4,2024.9,170.7,170.7,110.8,2016-03-04T08:00:00,30.5
F015,20688.1,8308.1,197.1,197.1,110.8,2016-03-05T08:00:00,30.5
F016,20857.6,8535.2,198.1,198.1,110.8,2016-03-05T08:00:00,30.5
F017,20612.4,9370.4,171.9,171.9,110.8,2016-03-05T08:00:00,30.5
F018,20886.4,8971.4,209.1,209.1,110.8,2016-03-05T08:00:00,30.5
F019,14609.1,8047.7,254.9,254.9,113.9,2016-03-07T08:00:00,30.5
F020,14958.3,8137.2,374.9,374.9,110.8,2016-03-07T08:00:00,30.5
F021,10152.6,5170.4,293.1,293.1,101.2,2016-03-09T08:00:00,30.5
F022,9104.8,9755.5,373.4,373.4,101.1,2016-03-10T08:00:00,30.5
F023,10921.7,4281.7,423.4,423.4,101.1,2016-03-10T08:00:00,30.5
F024,12024.7,6707.4,279.5,279.5,110.8,2016-03-10T08:00:00,30.5
F025,14069.6,6841.1,233.7,233.7,119,2016-03-10T08:00:00,30.5
F026,10568.4,3932.6,252.2,252.2,101.1,2016-03-10T08:00:00,30.5
F027,10619.4,2715.8,254.1,254.1,110.8,2016-03-10T08:00:00,30.5
F028,12024.1,777.1,398.5,398.5,101.2,2016-03-10T08:00:00,30.5
F029,12055.2,2167.6,106.4,106.4,110.8,2016-03-10T08:00:00,30.5
F030,593,11632.3,185.5,185.5,113.3,2016-03-11T08:00:00,30.5
F031,353.2,11659.1,110.2,110.2,112.4,2016-03-11T08:00:00,30.5
F032,278.5,11858.9,179.9,179.9,108.4,2016-03-11T08:00:00,30.5
F033,13253.7,8735.2,153.2,153.2,101.3,2016-03-11T08:00:00,30.5
F034,13748,8700.9,436.1,436.1,101.2,2016-03-11T08:00:00,30.5
F035,13727.7,9200.2,252.9,252.9,101.2,2016-03-11T08:00:00,30.5
F036,14423.9,9102.5,336,336,101.2,2016-03-11T08:00:00,30.5
F037,17187.8,9289.3,508.9,508.9,111.9,2016-03-11T08:00:00,30.5
F038,11974.3,7935.1,231.7,231.7,101,2016-03-11T08:00:00,30.5
F039,12568.9,8151.1,365.8,365.8,101.1,2016-03-11T08:00:00,30.5
F040,2482.9,11181.3,242.2,242.2,116.2,2016-03-12T08:00:00,30.5
F041,13554.2,9624.3,384.7,384.7,101.1,2016-03-12T08:00:00,30.5
F042,2637.5,8725.1,308.4,308.4,100.4,2016-03-13T08:00:00,30.5
F043,1989.3,8076,233.7,233.7,89.2,2016-03-13T08:00:00,30.5
F044,1796.4,8238.7,206.1,206.1,105.5,2016-03-13T08:00:00,30.5
F045,12403.9,15964.8,309,309,101.2,2016-03-14T08:00:00,30.5
F046,1766.8,11493.1,345.5,345.5,104.5,2016-03-14T08:00:00,30.5
F047,2636.6,11584.8,201.2,201.2,106,2016-03-14T08:00:00,30.5
F048,3522.8,11875.8,250.5,250.5,108.7,2016-03-14T08:00:00,30.5
F049,7487.9,8985.9,227,227,101.2,2016-03-14T08:00:00,30.5
F050,8242.6,8964.1,208.1,208.1,101.1,2016-03-14T08:00:00,30.5
F051,12425.3,12397.4,502.7,502.7,101.2,2016-03-14T08:00:00,30.5
