srcid,xs,ys,xinit,yinit,apprate,start,incdepth
F001,18754,58174,812.2,812.2,219,2015-10-29T02:00:00,46.5
F002,7411,38963,1045.3,1045.3,220,2015-09-12T06:00:00,46.5
F003,19960,47449,1025.8,1025.8,221,2015-09-20T06:00:00,46.5
F004,29312,34211,648.7,648.7,154,2015-10-24T06:00:00,46.5
F005,56184,2052,636.1,636.1,165,2015-09-10T07:00:00,46.5
F006,54924,12412,694,694,176,2015-09-30T07:00:00,46.5
F007,41465,10410,648.7,648.7,176,2015-10-16T07:00:00,46.5
F008,17394,20021,694,694,154,2015-10-20T07:00:00,46.5
F009,23444,31920,725.3,725.3,199,2015-10-26T07:00:00,46.5
F010,11447,41291,807,807,168,2015-10-29T07:00:00,46.5
F011,11045,42664,344.5,344.5,173,2015-11-05T07:00:00,46.5
F012,30122,46161,859.4,859.4,166,2015-11-12T07:00:00,46.5
F013,63640,10275,471.8,471.8,165,2015-08-09T08:00:00,46.5
F014,24614,40215,727.5,727.5,166,2016-02-26T08:00:00,46.5
F015,25507,41125,220.4,220.4,166,2016-03-04T08:00:00,46.5
F016,2244,11584,714.1,714.1,165,2016-03-17T08:00:00,46.5
F017,25816,40224,727,727,167,2015-08-06T08:00:00,46.5
F018,16391,42689,764.4,764.4,167,2015-08-19T08:00:00,46.5
F019,9295,11668,758.1,758.1,198,2015-08-25T08:00:00,46.5
F020,30424,15264,532.2,532.2,220,2015-09-10T08:00:00,46.5
F021,8535,16476,348.4,348.4,165,2015-09-18T08:00:00,46.5
F022,15004,17674,722.5,722.5,210,2015-10-04T08:00:00,46.5
F023,25747,21025,565.4,565.4,165,2015-10-08T08:00:00,46.5
F024,31115,30719,728.1,728.1,167,2015-10-12T08:00:00,46.5
F025,14143,60504,524.6,524.6,200,2015-10-21T08:00:00,46.5
F026,14752,60048,648.7,648.7,198,2015-10-28T08:00:00,46.5
F027,38832,33143,725.3,725.3,198,2015-10-30T08:00:00,46.5
